"序号","论文标题","主标签","tags","状态","路径","更新时间"
"1","Cognitive Architectures for Language Agents","","","已拉取","papers/.raw/Cognitive_Architectures_for_Language_Agents.pdf","2026-05-06 00:25:09"
"2","ExpeL Learning from Experiential Planning","","","已拉取","papers/.raw/ExpeL_Learning_from_Experiential_Planning.pdf","2026-05-06 00:07:54"
"3","HippoRAG Neurobiologically Inspired Long-Term Memory for Large Language Models","","","已拉取","papers/.raw/HippoRAG_Neurobiologically_Inspired_Long-Term_Memory_for_Large_Language_Models.pdf","2026-05-06 00:24:44"
"4","MemoryBank Enhancing Large Language Models with Long-Term Memory","","","已拉取","papers/.raw/MemoryBank_Enhancing_Large_Language_Models_with_Long-Term_Memory.pdf","2026-05-06 00:07:15"
"5","Reflexion Language Agents with Verbal Reinforcement Learning","","","已拉取","papers/.raw/Reflexion_Language_Agents_with_Verbal_Reinforcement_Learning.pdf","2026-05-06 00:06:19"
"6","Self-RAG Learning to Retrieve, Generate, and Critique through Self-Reflection","","","已拉取","papers/.raw/Self-RAG_Learning_to_Retrieve,_Generate,_and_Critique_through_Self-Reflection.pdf","2026-05-05 23:26:11"
"7","Voyager An Open-Ended Embodied Agent with Large Language Models","","","已拉取","papers/.raw/Voyager_An_Open-Ended_Embodied_Agent_with_Large_Language_Models.pdf","2026-05-06 00:25:39"
"8","iRangeGraph Improvising Range-dedicated Graphs for Range-filtering Nearest Neighbor Search","","","已拉取","papers/.raw/iRangeGraph_Improvising_Range-dedicated_Graphs_for_Range-filtering_Nearest_Neighbor_Search.pdf","2026-05-07 09:53:14"
"9","paper","","","已拉取","papers/.raw/paper.pdf","2026-05-04 13:38:53"
"10","skillsbench","","","已拉取","papers/.raw/skillsbench.pdf","2026-05-08 23:24:20"
"11","terminal-bench","","","已拉取","papers/.raw/terminal-bench.pdf","2026-05-08 23:24:43"
"12","A-Mem: Agentic Memory for LLM Agents","agentic_ai","agentic_ai","已分析","papers/agentic_ai/A-MEM Agentic Memory for LLM Agents","2026-05-05 23:52:48"
"13","Beyond Semantic Similarity: Rethinking Retrieval for Agentic Search via Direct Corpus Interaction","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Beyond Semantic Similarity Rethinking Retrieval for Agentic Search via Direct Corpus Interaction","2026-05-12 13:46:36"
"14","Cognitive Architectures for Language Agents","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Cognitive Architectures for Language Agents","2026-05-06 10:33:57"
"15","DRAGIN: Dynamic Retrieval Augmented Generation based on the Information Needs of Large Language Models","agentic_ai","agentic_ai","已分析","papers/agentic_ai/DRAGIN Dynamic Retrieval Augmented Generation based on the real-time information needs of large language models","2026-05-04 13:37:06"
"16","ExpeL: LLM Agents Are Experiential Learners","agentic_ai","agentic_ai","已分析","papers/agentic_ai/ExpeL Learning from Experiential Planning for LLM Agents","2026-05-06 10:33:57"
"17","From Verbatim to Gist: Distilling Pyramidal Multimodal Memory via Semantic Information Bottleneck for Long-Horizon Video Agents","agentic_ai","agentic_ai","已分析","papers/agentic_ai/From Verbatim to Gist Distilling Pyramidal Multimodal Memory via Semantic Information Bottleneck for Long-Horizon Video Agents","2026-05-04 13:39:58"
"18","Graph of Skills: Dependency-Aware Structural Retrieval for Massive Agent Skills","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Graph of Skills Dependency-Aware Structural Retrieval for Massive Agent Skills","2026-05-07 08:56:56"
"19","HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models","agentic_ai","agentic_ai","已分析","papers/agentic_ai/HippoRAG Neurobiologically Inspired Long-Term Memory for Large Language Models","2026-05-06 10:33:57"
"20","Learning Hierarchical Procedural Memory for LLM Agents through Bayesian Selection and Contrastive Refinement","agentic_ai","agentic_ai","已分析","papers/agentic_ai/MACLA Learning Hierarchical Procedural Memory for LLM Agents","2026-05-05 23:55:54"
"21","MemGPT: Towards LLMs as Operating Systems","agentic_ai","agentic_ai","已分析","papers/agentic_ai/MemGPT Towards LLMs as Operating Systems","2026-05-06 10:33:57"
"22","MemoryBank: Enhancing Large Language Models with Long-Term Memory","agentic_ai","agentic_ai","已分析","papers/agentic_ai/MemoryBank Enhancing Large Language Models with Long-Term Memory","2026-05-06 10:33:57"
"23","Multi-Field Tool Retrieval","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Multi-field tool retrieval","2026-05-04 13:37:06"
"24","Parametric Retrieval Augmented Generation","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Parametric Retrieval Augmented Generation","2026-05-04 13:37:06"
"25","Reflexion: Language Agents with Verbal Reinforcement Learning","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Reflexion Language Agents with Verbal Reinforcement Learning","2026-05-06 10:33:57"
"26","SELF-RAG: LEARNING TO RETRIEVE, GENERATE, AND CRITIQUE THROUGH SELF-REFLECTION","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Self-RAG Learning to Retrieve Generate and Critique through Self-Reflection","2026-05-06 10:33:57"
"27","Skill Retrieval Augmentation for Agentic AI","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Skill Retrieval Augmentation for Agentic AI","2026-05-06 11:04:04"
"28","Skill1: Unified Evolution of Skill-Augmented Agents via Reinforcement Learning","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Skill1 Unified Evolution of Skill-Augmented Agents via Reinforcement Learning","2026-05-12 13:46:30"
"29","SkillFlow: Scalable and Efficient Agent Skill Retrieval System","agentic_ai","agentic_ai","已分析","papers/agentic_ai/SkillFlow Scalable and Efficient Agent Skill Retrieval System","2026-05-12 09:15:39"
"30","SkillRouter: Skill Routing for LLM Agents at Scale","agentic_ai","agentic_ai","已分析","papers/agentic_ai/SkillRouter Skill Routing for LLM Agents at Scale","2026-05-11 14:12:28"
"31","SkillsBench: Benchmarking How Well Agent Skills Work Across Diverse Tasks","agentic_ai","agentic_ai","已分析","papers/agentic_ai/SkillsBench Benchmarking how well agent skills work across diverse tasks","2026-05-09 09:22:39"
"32","Terminal-Bench: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Terminal-Bench Benchmarking Agents on Hard Realistic Tasks in Command Line Interfaces","2026-05-09 09:22:39"
"33","VOYAGER: An Open-Ended Embodied Agent with Large Language Models","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Voyager An Open-Ended Embodied Agent with Large Language Models","2026-05-06 10:33:57"
"34","ACORN: Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data","filtered_anns","filtered_anns","已分析","papers/filtered_anns/ACORN Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data","2026-05-07 11:57:38"
"35","Approximate Nearest Neighbor Search with Window Filters","filtered_anns","filtered_anns","已分析","papers/filtered_anns/Approximate Nearest Neighbor Search with Window Filters","2026-05-07 11:57:38"
"36","Attribute Filtering in Approximate Nearest Neighbor Search: An In-depth Experimental Study","filtered_anns","filtered_anns","已分析","papers/filtered_anns/Attribute Filtering in Approximate Nearest Neighbor Search An In-depth Experimental Study","2026-05-07 20:53:47"
"37","UNIFY: Unified Index for Range Filtered Approximate Nearest Neighbors Search","filtered_anns","filtered_anns","已分析","papers/filtered_anns/UNIFY Unified Index for Range Filtered Approximate Nearest Neighbors Search","2026-05-07 11:57:38"
"38","iRangeGraph: Improvising Range-dedicated Graphs for Range-filtering Nearest Neighbor Search","filtered_anns","filtered_anns","已分析","papers/filtered_anns/iRangeGraph Improvising Range-dedicated Graphs for Range-filtering Nearest Neighbor Search","2026-05-07 11:57:38"
"39","CITADEL: Conditional Token Interaction via Dynamic Lexical Routing for Efficient and Effective Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/CITADEL Conditional Token Interaction via Dynamic Lexical Routing for Efficient Multi-Vector Retrieval","2026-05-02 16:34:11"
"40","Col-Bandit: Zero-Shot Query-Time Pruning for Late-Interaction Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/Col-Bandit Zero-Shot Query-Time Pruning for Late-Interaction Retrieval","2026-05-02 16:34:11"
"41","ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/ColBERT Efficient and Effective Passage Search via Contextualized Late Interaction over BERT","2026-05-02 16:34:11"
"42","ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/ColBERTv2 Effective and Efficient Retrieval via Lightweight Late Interaction","2026-05-02 16:34:11"
"43","DESSERT: An Efficient Algorithm for Vector Set Search with Vector Set Queries","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/DESSERT An Efficient Algorithm for Vector Set Search with Vector Set Queries","2026-05-02 16:34:11"
"44","学术论文分析报告","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/DiskANN Fast Accurate Billion-Point Nearest Neighbor Search on a Single Node","2026-05-02 16:34:11"
"45","ESPN: MEMORY-EFFICIENT MULTI-VECTOR INFORMATION RETRIEVAL","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/ESPN Memory-Efficient Multi-Vector Information Retrieval","2026-05-02 16:34:11"
"46","Efficient Constant-Space Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/Efficient Constant-Space Multi-Vector Retrieval","2026-05-02 16:34:11"
"47","Efficient Multi-Vector Dense Retrieval with Bit Vectors","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/Efficient Multi-Vector Dense Retrieval Using Bit Vectors","2026-05-02 16:34:11"
"48","GEM: A Native Graph-based Index for Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/GEM A Native Graph-based Index for Multi-Vector Retrieval","2026-05-02 16:34:11"
"49","Hybrid-Vector Retrieval for Visually Rich Documents: Combining Single-Vector Efficiency and Multi-Vector Accuracy","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/HEAVEN Hybrid-Vector Retrieval for Visually Rich Documents","2026-05-02 16:34:11"
"50","学术论文分析报告","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/HNSW Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs","2026-05-02 16:34:11"
"51","Hierarchical Patch Compression for ColPali: Efficient Multi-Vector Document Retrieval with Dynamic Pruning and Quantization","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/HPC-ColPali Hierarchical Patch Compression for Efficient Multi-Vector Document Retrieval","2026-05-02 16:34:11"
"52","IGP: Efficient Multi-Vector Retrieval via Proximity Graph Index","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/IGP Efficient Multi-Vector Retrieval via Proximity Graph Index","2026-05-02 16:34:11"
"53","LEMUR: Learned Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/LEMUR Learned Multi-Vector Retrieval","2026-05-02 16:34:11"
"54","MUVERA: Multi-Vector Retrieval via Fixed Dimensional Encodings","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/MUVERA Multi-Vector Retrieval via Fixed Dimensional Encodings","2026-05-02 16:34:11"
"55","Multi-Vector Index Compression in Any Modality","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/Multi-Vector Index Compression in Any Modality","2026-05-02 16:34:11"
"56","PLAID: An Efficient Engine for Late Interaction Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/PLAID An Efficient Engine for Late Interaction Retrieval","2026-05-02 16:34:11"
"57","SLIM: Sparsified Late Interaction for Multi-Vector Retrieval with Inverted Indexes","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/SLIM Sparsified Late Interaction for Multi-Vector Retrieval with Inverted Indexes","2026-05-02 16:34:11"
"58","SPLATE: Sparse Late Interaction Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/SPLATE Sparse Late Interaction Retrieval","2026-05-02 16:34:11"
"59","Efficient Multivector Retrieval with Token-Aware Clustering and Hierarchical Indexing","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/TACHIOM Efficient Multivector Retrieval with Token-Aware Clustering and Hierarchical Indexing","2026-05-06 18:23:27"
"60","WARP: An Efficient Engine for Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/WARP An Efficient Engine for Multi-Vector Retrieval","2026-05-02 16:34:11"
"61","Rethinking the Role of Token Retrieval in Multi-Vector Retrieval","multi_vector_retrieval","multi_vector_retrieval","已分析","papers/multi_vector_retrieval/XTR Rethinking the Role of Token Retrieval in Multi-Vector Retrieval","2026-05-02 16:34:11"
"62","Antelope: 基于 GPU 的三方隐私保护机器学习框架 \*","privacy_preserving_ml","privacy_preserving_ml","已分析","papers/privacy_preserving_ml/Antelope 3-party Privacy-preserving Machine Learning Framework Based on GPU","2026-05-11 13:16:33"
"63","Approximate Matching for Fuzzy Set Similarity","set_similarity_search","set_similarity_search","已分析","papers/set_similarity_search/Approximate Matching for Fuzzy Set Similarity","2026-05-04 17:39:23"
"64","An Efficient Proximity Graph-based Approach to Table Union Search","table_vector_search","table_vector_search","已转换","papers/table_vector_search/An Efficient Proximity Graph-based Approach to Table Union Search","2026-05-07 19:56:22"
"65","DeepJoin: Joinable Table Discovery with Pre-trained Language Models","table_vector_search","table_vector_search","已分析","papers/table_vector_search/DeepJoin Joinable Table Discovery with Pre-trained Language Models","2026-05-07 20:53:47"
"66","EasyTUS: A Comprehensive Framework for Fast and Accurate Table Union Search across Data Lakes","table_vector_search","table_vector_search","已转换","papers/table_vector_search/EasyTUS A Comprehensive Framework for Fast and Accurate Table Union Search across Data Lakes","2026-05-07 19:57:05"
"67","Efficient and Effective Table-Centric Table Union Search in Data Lakes","table_vector_search","table_vector_search","已转换","papers/table_vector_search/Efficient and Effective Table-Centric Table Union Search in Data Lakes","2026-05-07 19:57:59"
"68","Pylon: Semantic Table Union Search in Data Lakes","table_vector_search","table_vector_search","已分析","papers/table_vector_search/Pylon Semantic Table Union Search in Data Lakes","2026-05-07 20:53:47"
"69","SANTOS: Relationship-based Semantic Table Union Search","table_vector_search","table_vector_search","已转换","papers/table_vector_search/SANTOS Relationship-based Semantic Table Union Search","2026-05-07 19:58:46"
"70","Semantics-aware Dataset Discovery from Data Lakes with Contextualized Column-based Representation Learning","table_vector_search","table_vector_search;table_union_search;contrastive_learning;column_embedding;HNSW;self_supervised;data_lake;SimCLR;RoBERTa","已分析","papers/table_vector_search/Starmie Semantics-aware Dataset Discovery from Data Lakes with Contextualized Column-based Representation Learning","2026-05-12 14:52:55"
"71","TabSketchFM: Sketch-based Tabular Representation Learning for Data Discovery over Data Lakes","table_vector_search","table_vector_search","已分析","papers/table_vector_search/TabSketchFM Sketch-based Tabular Representation Learning for Data Discovery over Data Lakes","2026-05-07 20:53:47"
"72","Attention Grounded Enhancement for Visual Document Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Attention_Grounded_Enhancement_for_Visual_Document_Retrieval","2026-05-02 16:34:11"
"73","Beyond the Grid: Layout-Informed Multi-Vector Retrieval with Parsed Visual Document Representations","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Beyond_the_Grid_Layout-Informed_Multi-Vector_Retrieval_with_Parsed_Visual_Document_Representations","2026-05-02 16:34:11"
"74","ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/ColBERTv2_Effective_and_Efficient_Retrieval_via_Lightweight_Late_Interaction","2026-05-02 16:34:11"
"75","ColPali: EFFICIENT DOCUMENT RETRIEVAL WITH VISION LANGUAGE MODELS","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/ColPali_Efficient_Document_Retrieval_with_Vision_Language_Models","2026-05-02 16:34:11"
"76","DocPruner: A STORAGE-EFFICIENT FRAMEWORK FOR MULTI-VECTOR VISUAL DOCUMENT RETRIEVAL VIA ADAPTIVE PATCH-LEVEL EMBEDDING PRUNING","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/DocPruner_A_Storage-Efficient_Framework_for_Multi-Vector_Visual_Document_Retrieval_via_Adaptive_Patch-Level_Embedding_Pruning","2026-05-02 16:34:11"
"77","Hierarchical Patch Compression for ColPali: Efficient Multi-Vector Document Retrieval with Dynamic Pruning and Quantization","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Hierarchical_Patch_Compression_for_ColPali_Efficient_Multi-Vector_Document_Retrieval_with_Dynamic_Pruning_and_Quantization","2026-05-02 16:34:11"
"78","Hybrid-Vector Retrieval for Visually Rich Documents: Combining Single-Vector Efficiency and Multi-Vector Accuracy","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Hybrid-Vector_Retrieval_for_Visually_Rich_Documents_Combining_Single-Vector_Efficiency_and_Multi-Vector_Accuracy","2026-05-02 16:34:11"
"79","MIRACL-VISION: A Large, multilingual, visual document retrieval benchmark","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/MIRACL-VISION_A_Large_Multilingual_Visual_Document_Retrieval_Benchmark","2026-05-02 16:34:11"
"80","MUVERA: Multi-Vector Retrieval via Fixed Dimensional Encodings","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/MUVERA_Multi-Vector_Retrieval_via_Fixed_Dimensional_Encodings","2026-05-02 16:34:11"
"81","NanoVDR: Distilling a 2B Vision-Language Retriever into a 70M Text-Only Encoder for Visual Document Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/NanoVDR_Distilling_a_2B_Vision-Language_Retriever_into_a_70M_Text-Only_Encoder_for_Visual_Document_Retrieval","2026-05-02 16:34:11"
"82","Nemotron ColEmbed V2: Top-Performing Late Interaction Embedding Models for Visual Document Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Nemotron_ColEmbed_V2_Top-Performing_Late_Interaction_Embedding_Models_for_Visual_Document_Retrieval","2026-05-02 16:34:11"
"83","Reproducibility, Replicability, and Insights into Visual Document Retrieval with Late Interaction","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Reproducibility_Replicability_and_Insights_into_Visual_Document_Retrieval_with_Late_Interaction","2026-05-02 16:34:11"
"84","Sculpting the Vector Space: Towards Efficient Multi-VectorCannot capturefine-grained info Visual Document Retrieval via PRUNE-THEN-MERGE Framework","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Sculpting_the_Vector_Space_Towards_Efficient_Multi-Vector_Visual_Document_Retrieval_via_Prune-then-Merge_Framework","2026-05-02 16:34:11"
"85","Spike Hijacking in Late-Interaction Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Spike_Hijacking_in_Late-Interaction_Retrieval","2026-05-02 16:34:11"
"86","Towards Storage-Efficient Visual Document Retrieval: An Empirical Study on Reducing Patch-Level Embeddings","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Towards_Storage-Efficient_Visual_Document_Retrieval_An_Empirical_Study_on_Reducing_Patch-Level_Embeddings","2026-05-02 16:34:11"
"87","Unifying Multimodal Retrieval via Document Screenshot Embedding","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Unifying_Multimodal_Retrieval_via_Document_Screenshot_Embedding","2026-05-02 16:34:11"
"88","VIDORE BENCHMARK V2: Raising the Bar for Visual Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/ViDoRe_Benchmark_V2_Raising_the_Bar_for_Visual_Retrieval","2026-05-02 16:34:11"
"89","ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/ViDoRe_V3_A_Comprehensive_Evaluation_of_Retrieval_Augmented_Generation_in_Complex_Real-World_Scenarios","2026-05-02 16:34:11"
"90","Visual Late Chunking: An Empirical Study of Contextual Chunking for Efficient Visual Document Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Visual_Late_Chunking_An_Empirical_Study_of_Contextual_Chunking_for_Efficient_Visual_Document_Retrieval","2026-05-02 16:34:11"
"91","Visual RAG Toolkit: Scaling Multi-Vector Visual Retrieval with Training-Free Pooling and Multi-Stage Search","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/Visual_RAG_Toolkit_Scaling_Multi-Vector_Visual_Retrieval_with_Training-Free_Pooling_and_Multi-Stage_Search","2026-05-02 16:34:11"
"92","jina-embeddings-v4: Universal Embeddings for Multimodal Multilingual Retrieval","visual_document_retrieval","visual_document_retrieval","已分析","papers/visual_document_retrieval/jina-embeddings-v4_Universal_Embeddings_for_Multimodal_Multilingual_Retrieval","2026-05-02 16:34:11"
"93","Organizing, Orchestrating, and Benchmarking Agent Skills at Ecosystem Scale","agentic_ai","agentic_ai","已分析","papers/agentic_ai/Organizing, Orchestrating, and Benchmarking Agent Skills at Ecosystem Scale","2026-05-13 14:56:47"
"94","Create, Evaluate, and Connect AI Skills","agentic_ai","agentic_ai","已分析","papers/agentic_ai/SkillNet: Create, Evaluate, and Connect AI Skills","2026-05-13 14:56:47"
"95","SkillsBench","agentic_ai","agentic_ai","已分析","papers/agentic_ai/SkillsBench","2026-05-13 14:56:47"
